sample.point,mortality.class,acfl,amcr,amgo,amro,baww,bcch,bhco,blbw,blja,brcr,btnw,cawa,cedw,cogr,dowo,eaki,eaph,eato,eawp,etti,gcfl,gcki,grca,hawo,heth,howa,modo,noca,oven,piwa,piwo,rbgr,rbnu,revi,rphe,rsha,rtha,rthu,scju,scta,sovi,veer,wbnu,wewa,witu,wiwr,woth,ysfl,ytvi,,,
P37,Hi-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0.5,7.5,8.95,1.044695596
P69,Hi-A,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,13,,
P70,Hi-A,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,,
P719,Hi-A,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,4.5,,
P721,Hi-A,0,0,1.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,9.5,,
P724,Hi-A,0,0,1.5,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,
P727,Hi-A,0,1,0.5,0,0.5,1,1,0,0,0,0,0,0,1,0.5,0,0,0,0,3.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,12,,
P728,Hi-A,0,0,0.5,0,0.5,0.5,0.5,0,1,0.5,0.5,0.5,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,8.5,,
P734,Hi-A,0,0,1,0,0,2.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5,1,0,0,0,0,0,1.5,0,0,0,0,0,1,0,0,1.5,0,0,0,0.5,0,0.5,13.5,,
P735,Hi-A,0,0,0,0,0,1.5,0,0,2,0,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0.5,1.5,0,10,,
P184,Hi-B,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,9.636363636,1.537546613
P187,Hi-B,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,15,,
P188,Hi-B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,1,1,1,0,0,2,0,0,2,0,0,0,0,0,1,1,3,2,1,0,0,0,0,0,22,,
P189,Hi-B,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,,
P195,Hi-B,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0.5,1,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,7,,
P196,Hi-B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,,
P197,Hi-B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,,
P707,Hi-B,1,0,0,1.5,0,0.5,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0.5,0,1.5,1.5,0.5,0,0,0,0,0.5,0,0,11,,
P710,Hi-B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,1.5,0.5,0,1,0,0,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,9.5,,
P725,Hi-B,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,2,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,7,,
P730,Hi-B,0,0,1.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,9.5,,
P703,Low,0.5,0,0,0,0.5,0,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0,7,7,0.517862741
P704,Low,0,0,0,0,0,1.5,0,0.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,6.5,,
P705,Low,0,1,0,0,0,2.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,
P706,Low,0,0.5,0,0,0,1,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,5.5,,
P708,Low,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,,
P711,Low,0,0,0,0.5,0,2.5,0,0,0.5,0.5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,
P712,Low,0,0,0,0,0,1.5,0,0,0.5,1,1.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,7.5,,
P736,Low,0.5,0,0.5,0,0,0,0,0,0.5,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,5.5,,
P737,Low,0,0,0,0,0,1.5,0,0,0.5,0,1.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,8.5,,
P739,Low,0,0,0,0,0,1,0,0,1.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,6.5,,
P740,Low,0,0,0,0,0,1,0,0.5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,6,,
P713,Med,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,5,5.9375,0.467110227
P714,Med,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,,
P715,Med,0,0,0,0,0,0,0,0,0,0,1.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,,
P716,Med,0,0,0,0.5,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,1,1,0,0,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.5,,
P717,Med,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.5,,
P718,Med,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,8,,
P720,Med,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,6.5,,
P723,Med,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,6,,
