sample.point,mortality.class,amcr_omn,amgo_omn,bhco_omn,blja_omn,cogr_omn,eato_omn,etti_omn,grca_omn,modo_gra,noca_omn,rbgr_omn,rphe_omn,rthu_omn,scju_omn,veer_omn,witu_omn,woth_omn,,,
P37,Hi-A,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,3.4,0.686375343
P69,Hi-A,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,3,,
P70,Hi-A,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,,
P719,Hi-A,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,4,,
P721,Hi-A,0,1.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2,,
P724,Hi-A,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
P727,Hi-A,1,0.5,1,0,1,0,3.5,0,0.5,0,0,0,0,0,0.5,0,0,7,,
P728,Hi-A,0,0.5,0.5,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,4,,
P734,Hi-A,0,1,1,0.5,0,0,1,0,0.5,1,0,0,0,0,0,0,0.5,7,,
P735,Hi-A,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,3,,
P184,Hi-B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.366666667,0.43390276
P187,Hi-B,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,,
P188,Hi-B,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,4,,
P189,Hi-B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,
P195,Hi-B,0,0,0,0.5,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,4,,
P196,Hi-B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,,
P197,Hi-B,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,,
P707,Hi-B,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0.5,4,,
P710,Hi-B,0,0,0,0,0,0.5,1.5,1,0.5,0,0,0,0,0,0,0,0,4,,
P725,Hi-B,0,1,0,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,3,,
P730,Hi-B,0,1.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2,,
P703,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,2.157894737,0.313391585
P704,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,2,,
P705,Low,1,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3,,
P706,Low,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
P708,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
P711,Low,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
P712,Low,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
P736,Low,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3,,
P737,Low,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
P739,Low,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,,
P740,Low,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,2,,
P713,Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0.977423727
P714,Med,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,,
P715,Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
P716,Med,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,
P717,Med,0.5,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,0,0,0,5,,
P718,Med,0,0.5,0,0.5,0,0,1,1,0,0.5,0,0,0,0,0.5,0.5,0.5,8,,
P720,Med,0,0,0,0.5,0,0,2.5,0,0,0.5,0,0,0,0,0.5,0,0,4,,
P723,Med,0,0.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,2,,
